Orthogroup,protA,protB,dist_codon
OG0010338,XP_019329902.1,KAF1547634.1,0.2144914059497349
OG0004323,XP_009272849.1,KAF1540203.1,0.20026696791238618
OG0007611,XP_009284278.1,KAF1509320.1,0.19870128260042141
OG0009670,XP_019327858.1,KAF1507273.1,0.19754289628953853
OG0009724,XP_019328074.1,KAF1534722.1,0.1707083129953328
OG0009770,XP_019328211.1,KAF1544828.1,0.16798531603590175
OG0010512,XP_019330447.1,KAF1518464.1,0.15685738253953685
OG0004701,XP_009274297.1,KAF1547163.1,0.15475084602568748
OG0005811,XP_009278138.1,KAF1526554.1,0.15347031543460193
OG0006754,XP_009281344.1,KAF1534955.1,0.15268060195438032
OG0008557,XP_009287730.1,KAF1511373.1,0.15121280590663808
OG0007621,XP_009284309.2,KAF1555548.1,0.15050161387586186
OG0003840,XP_009271233.1,KAF1502192.1,0.15044835641971388
OG0010470,XP_019330346.1,KAF1519461.1,0.14894368604015162
OG0004132,XP_009272227.2,KAF1507712.1,0.1483104817132564
OG0009824,XP_019328389.1,KAF1549200.1,0.1473936876301552
OG0003841,XP_009271240.1,KAF1511281.1,0.14614226866511137
OG0003719,XP_009270768.1,KAF1547332.1,0.14591847120531926
OG0010140,XP_019329368.1,KAF1555078.1,0.14525936040891807
OG0009086,XP_019325873.1,KAF1555796.1,0.1419002331984226
OG0003986,XP_009271718.2,KAF1525081.1,0.13945683955595845
OG0008866,XP_009288698.1,KAF1502146.1,0.13844034439627054
OG0010078,XP_019329136.1,KAF1552337.1,0.13625085613555626
OG0009343,XP_019326787.1,KAF1541711.1,0.1360068149919559
OG0005110,XP_009275852.1,KAF1534166.1,0.13567471108219184
OG0010418,XP_019330194.1,KAF1544684.1,0.13388116170903683
OG0009631,XP_019327738.1,KAF1526503.1,0.13353540111662499
OG0009783,XP_019328257.1,KAF1541656.1,0.13299126193839947
OG0009131,XP_019326066.1,KAF1529582.1,0.1319749350878578
OG0009908,XP_019328629.1,KAF1558985.1,0.13163497108040031
OG0003854,XP_009271293.1,KAF1516671.1,0.13045013673322944
OG0005351,XP_009276632.1,KAF1550942.1,0.1297203320788121
OG0008969,XP_009288997.1,KAF1499257.1,0.12945069066509496
OG0007340,XP_009283131.1,KAF1526587.1,0.12941916463540756
OG0008457,XP_009287301.1,KAF1502086.1,0.12896832382605738
OG0007616,XP_009284299.1,KAF1554831.1,0.12740767250506913
OG0009188,XP_019326267.1,KAF1535463.1,0.12678818300197978
OG0008343,XP_009286763.1,KAF1525825.1,0.12617801826989783
OG0009395,XP_019327016.1,KAF1535597.1,0.12611822694798272
OG0008368,XP_009286866.1,KAF1502467.1,0.12592110621967803
OG0005029,XP_009275595.1,KAF1507684.1,0.12549111446518538
OG0008936,XP_009288870.1,KAF1511234.1,0.125170107427108
OG0009212,XP_019326340.1,KAF1507325.1,0.12500910396291948
OG0009709,XP_019328014.1,KAF1521922.1,0.12483378042482465
OG0010527,XP_019330491.1,KAF1511295.1,0.12432675841162617
OG0008001,XP_009285546.1,KAF1518444.1,0.12396958735326245
OG0005208,XP_009276189.1,KAF1509036.1,0.12287672229694611
OG0003962,XP_009271639.1,KAF1510927.1,0.12280798575141429
OG0006935,XP_009281896.1,KAF1549177.1,0.1225326866310813
OG0008587,XP_009287843.2,KAF1559214.1,0.12192517518137758
OG0007463,XP_009283575.1,KAF1517419.1,0.12148805541180945
OG0010321,XP_019329854.1,KAF1527322.1,0.12136909420960057
OG0009852,XP_019328443.1,KAF1556175.1,0.12130839461325404
OG0006071,XP_009279127.1,KAF1518757.1,0.12121945855146297
OG0005806,XP_009278124.1,KAF1526553.1,0.12121573418756983
OG0009984,XP_019328853.1,KAF1521982.1,0.12120543628811271
OG0008780,XP_009288375.1,KAF1525822.1,0.12109541826978669
OG0010542,XP_019330532.1,KAF1504697.1,0.12013690781830468
OG0003806,XP_009271120.1,KAF1511157.1,0.11968393685607677
OG0009548,XP_019327499.1,KAF1502677.1,0.11966902366638546
OG0004698,XP_009274289.1,KAF1527860.1,0.11886119221228784
OG0004195,XP_009272478.1,KAF1535470.1,0.1186517463613602
OG0006013,XP_009278957.1,KAF1523842.1,0.11838804570021472
OG0007122,XP_009282468.1,KAF1503203.1,0.1179547248915051
OG0007961,XP_009285387.1,KAF1525495.1,0.11747046598224772
OG0006416,XP_009280294.1,KAF1502569.1,0.11725515298176929
OG0003736,XP_009270819.1,KAF1518263.1,0.11680311736073166
OG0010483,XP_019330377.1,KAF1525465.1,0.11671223849215469
OG0006596,XP_009280871.1,KAF1545347.1,0.11661954497908575
OG0006738,XP_009281291.2,KAF1534979.1,0.11636798612018293
OG0005274,XP_009276394.1,KAF1509183.1,0.11612652731371428
OG0005854,XP_009278275.1,KAF1542154.1,0.11589100988122082
OG0009255,XP_019326455.1,KAF1501719.1,0.11575655133819966
OG0010462,XP_019330324.1,KAF1519355.1,0.11520189436650743
OG0010033,XP_019329019.1,KAF1518774.1,0.11513680223479764
OG0009593,XP_019327636.1,KAF1497653.1,0.11512256988048475
OG0006176,XP_009279521.1,KAF1558215.1,0.11502446491427855
OG0005619,XP_009277578.1,KAF1534205.1,0.11501441493879522
OG0008443,XP_009287196.1,KAF1527729.1,0.11494489011285217
OG0009533,XP_019327461.1,KAF1518147.1,0.11459093016721163
OG0010270,XP_019329745.1,KAF1519508.1,0.11450011886102952
OG0008722,XP_009288221.1,KAF1525598.1,0.11399748674936029
OG0007240,XP_009282822.1,KAF1554504.1,0.11373718544442482
OG0004506,XP_009273535.2,KAF1540097.1,0.11370517658182962
OG0004967,XP_009275336.1,KAF1499188.1,0.11365928140218493
OG0004886,XP_009275078.1,KAF1545927.1,0.1134472736318441
OG0008437,XP_009287178.2,KAF1527805.1,0.11323601881555202
OG0004848,XP_009274884.1,KAF1534415.1,0.11296397023683871
OG0010435,XP_019330243.1,KAF1559343.1,0.11284502818104968
OG0010525,XP_019330485.1,KAF1511256.1,0.11276000877193772
OG0003975,XP_009271682.1,KAF1529714.1,0.11254123693891233
OG0004064,XP_009271929.1,KAF1551137.1,0.11253310595743464
OG0005564,XP_009277376.1,KAF1499226.1,0.1124655942842579
OG0004550,XP_009273716.1,KAF1509083.1,0.11245565723090681
OG0008713,XP_009288193.1,KAF1519415.1,0.11236130590565256
OG0005678,XP_009277740.1,KAF1507222.1,0.11209886927208502
OG0007356,XP_009283187.1,KAF1497771.1,0.11164353858841576
OG0008588,XP_009287844.2,KAF1535382.1,0.11135029159963647
OG0009474,XP_019327225.1,KAF1508939.1,0.1108798990521793
OG0006034,XP_009279025.1,KAF1547573.1,0.1107318728962399
OG0004785,XP_009274569.1,KAF1549426.1,0.11066594076624656
OG0008515,XP_009287500.1,KAF1548669.1,0.11042125048516331
OG0009522,XP_019327426.1,KAF1508796.1,0.11020698453747012
OG0009073,XP_019325821.1,KAF1529407.1,0.11017048536042882
OG0004642,XP_009274095.1,KAF1518133.1,0.10993834823323213
OG0005562,XP_009277374.1,KAF1498936.1,0.10921404399390082
OG0006999,XP_009282062.1,KAF1542706.1,0.1091878171815854
OG0004954,XP_009275290.1,KAF1525840.1,0.10881860180896148
OG0010249,XP_019329685.1,KAF1518216.1,0.10873452800956056
OG0008439,XP_009287180.1,KAF1527725.1,0.10869288224722132
OG0005816,XP_009278158.1,KAF1526564.1,0.10850102894489132
OG0005521,XP_009277210.1,KAF1502110.1,0.10847348851680426
OG0007154,XP_009282551.1,KAF1526452.1,0.10841329148596009
OG0010204,XP_019329580.1,KAF1533114.1,0.10810854919078086
OG0009948,XP_019328742.1,KAF1547623.1,0.10806572394631668
OG0009498,XP_019327317.1,KAF1523195.1,0.10785185889145812
OG0010109,XP_019329249.1,KAF1502015.1,0.10774144469444379
OG0004543,XP_009273667.1,KAF1531467.1,0.1076583289368439
OG0007816,XP_009284945.1,KAF1517626.1,0.10763136332392412
OG0004681,XP_009274222.1,KAF1508779.1,0.10760901509339912
OG0009501,XP_019327324.1,KAF1502684.1,0.10751092280426754
OG0008225,XP_009286348.1,KAF1516165.1,0.10743759532402479
OG0010087,XP_019329163.1,KAF1559051.1,0.1072817176972057
OG0004949,XP_009275278.2,KAF1525538.1,0.10706371863022865
OG0008236,XP_009286391.1,KAF1540284.1,0.10691851978552787
OG0005077,XP_009275750.1,KAF1537824.1,0.10640873026746281
OG0008238,XP_009286408.1,KAF1517806.1,0.1063528164235789
OG0006868,XP_009281690.1,KAF1526502.1,0.10584013406480453
OG0007191,XP_009282670.2,KAF1554571.1,0.10506418849053081
OG0005759,XP_009277958.1,KAF1553175.1,0.10503240613999613
OG0010151,XP_019329416.1,KAF1554822.1,0.10494356473286319
OG0009007,XP_009289123.1,KAF1504826.1,0.10478093211461761
OG0010365,XP_019329987.1,KAF1525619.1,0.10470806172395297
OG0010165,XP_019329485.1,KAF1497939.1,0.10465766577148532
OG0005167,XP_009276058.2,KAF1508931.1,0.10462157398528339
OG0009844,XP_019328426.1,KAF1546391.1,0.10460040436061191
OG0007541,XP_009284010.1,KAF1554932.1,0.1044956144971694
OG0009660,XP_019327821.1,KAF1510008.1,0.10447636855472224
OG0006356,XP_009280086.1,KAF1541520.1,0.10438242090171293
OG0004755,XP_009274485.2,KAF1549488.1,0.10420112898597965
OG0004331,XP_009272878.2,KAF1535077.1,0.10382534483498833
OG0008354,XP_009286801.1,KAF1525643.1,0.10366748274254858
OG0009823,XP_019328388.1,KAF1549361.1,0.10346923263469279
OG0009229,XP_019326390.1,KAF1513568.1,0.10325914864820633
OG0009465,XP_019327197.1,KAF1509189.1,0.1032087540887348
OG0009210,XP_019326338.1,KAF1510926.1,0.10303681882736301
OG0009917,XP_019328651.1,KAF1518434.1,0.10272746909502657
OG0009443,XP_019327163.1,KAF1499400.1,0.10260115811302575
OG0006560,XP_009280758.1,KAF1539915.1,0.10222559040483477
OG0006518,XP_009280638.1,KAF1517726.1,0.10219990557410241
OG0009394,XP_019327010.1,KAF1545075.1,0.10215456026955606
OG0005985,XP_009278885.1,KAF1549179.1,0.10211036217299464
OG0009221,XP_019326361.1,KAF1535010.1,0.10181567824778401
OG0005353,XP_009276636.1,KAF1523196.1,0.10177031051120816
OG0006110,XP_009279244.1,KAF1519391.1,0.10157583876397375
OG0009678,XP_019327877.1,KAF1500667.1,0.10156281183497604
OG0008136,XP_009285986.1,KAF1553165.1,0.10152920732033283
OG0005210,XP_009276194.1,KAF1507680.1,0.10135896020283665
OG0007507,XP_009283775.1,KAF1502140.1,0.10120035029481984
OG0004049,XP_009271886.1,KAF1499171.1,0.10108641423105903
OG0008974,XP_009289029.1,KAF1504694.1,0.1010838574173905
OG0005819,XP_009278165.2,KAF1526437.1,0.10101525445522107
OG0010050,XP_019329062.1,KAF1549506.1,0.10098405534341234
OG0010099,XP_019329211.1,KAF1518132.1,0.1007993870151775
OG0005400,XP_009276794.1,KAF1520038.1,0.10073014886097394
OG0009134,XP_019326073.1,KAF1529618.1,0.10072513505503303
OG0008594,XP_009287856.1,KAF1535437.1,0.10059078587237642
OG0010194,XP_019329552.1,KAF1535539.1,0.10055258597856415
OG0005137,XP_009275969.1,KAF1508950.1,0.10044814069797205
OG0007782,XP_009284866.1,KAF1539618.1,0.10024787609980243
OG0009970,XP_019328798.1,KAF1554550.1,0.09999255574049758
OG0005322,XP_009276557.2,KAF1523284.1,0.09982436980953813
OG0004777,XP_009274551.2,KAF1549540.1,0.09973293226806422
OG0006847,XP_009281623.1,KAF1498999.1,0.09939961049666449
OG0005277,XP_009276406.1,KAF1509101.1,0.0993120494993003
OG0006539,XP_009280681.1,KAF1517771.1,0.09928853978532014
OG0008345,XP_009286777.1,KAF1525471.1,0.09928788262677667
OG0008519,XP_009287555.1,KAF1535366.1,0.09890393890480463
OG0006442,XP_009280379.1,KAF1542110.1,0.09848410805035634
OG0007323,XP_009283087.1,KAF1549578.1,0.09832585367612157
OG0010454,XP_019330299.1,KAF1535432.1,0.09807109258985533
OG0005428,XP_009276883.2,KAF1559049.1,0.0980021064895147
OG0005686,XP_009277765.1,KAF1507199.1,0.09787294275828855
OG0007561,XP_009284051.1,KAF1554883.1,0.09779546144889169
OG0007331,XP_009283102.1,KAF1549561.1,0.09776638068233219
OG0010236,XP_019329648.1,KAF1513514.1,0.09776400547538944
OG0008537,XP_009287679.1,KAF1498957.1,0.09763458414504224
OG0004220,XP_009272540.1,KAF1503315.1,0.0976242953764613
OG0004501,XP_009273519.1,KAF1508608.1,0.09757588355961659
OG0005121,XP_009275880.1,KAF1534173.1,0.09748337240948703
